,id,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,start_date,start_date_local,timezone,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,workout_type,average_speed,max_speed,Distance_km
0,13832703333,Lunch Ride,36512.1,5143,5244,104.7,root='Ride',root='Ride',2025-03-09 10:57:19+00:00,2025-03-09 12:57:19+00:00,(GMT+02:00) Europe/Vilnius,,,,2,2,1,1,0,id='a13832703333' polyline=None summary_polyline='shzmIcaktCBvAG`Cg@nFKhCD|@Ff@h@xCNv@Rn@Zd@|@d@XTJPDRBn@En@y@`FOnADbCC`A]dEw@vHc@vFy@nI[rDIxAA`A@f@Dh@Pv@\\hA`AnCd@~AbDlJ`D|Jl@~A`CjHvAvDlFhPfAzCzCjJnBxFTx@Hd@?t@D\\FH^TJJl@nA^dA~JzZrGdRb@vABd@DP`@d@bBxE~AjDbBfCrAbBvAxA~@v@zDxBtAh@dB^jCVpH@dAItKKzGQjHEnIQvGA`x@mA`IR|a@fCn@J^^H?NOBc@G]SI]TWFyb@mCkHUaGDaO\\{LH{e@t@_G?qMXcPN_BA}AMsBY{By@{C_Bm@c@oAiAuCsDsAyBqAsCwAoDWw@Ey@MOE?KNALBV`@j@h@`BjBlEjAxB|@rAx@dAbCjCtAfA`Al@zCtAbAZpATlDNpUSl[i@pNKzU[`Zg@nGLrb@dCvANHFV\\TIJY@QCQOUKCg@XK@eUwAmHc@uFYeDIwHHiIRaWZ}C?{Ub@yMFqQ\\sLH_CKsASmBe@eEoBy@g@o@i@eBsBaB}Bq@iAqAgCiBoEYaAIs@EMMIEDEJ?ZDLZ\\FNnArDrAxC`BtC`CvC|BzBx@j@tAt@jCfAhDv@?K?FEAn@CtBB|SSdZc@fE@jHKrDO|[YfQ]pGNxHf@jY~A^Hb@b@PCDIDK@QAQEKIIIAo@V[?sU}AoHa@wI[cBBoCCqBJ{INy[Z}NXiKFwBJuLJgFNaOHcBGmC_@aBk@aCiAcBeAm@k@uB}BwAqBs@kAeBmDeAqCg@cBA[GWMIMHEXFZX\\hAfDbAdCbAjBr@dApBhCjAnAr@r@~AhAbBz@rCdArC`@vAFpFAfSWxU]n@EzKEfEMvDApIQbF?fGI`FQ|GEtAFtB@~`@bCfA@tANd@b@NAFGDa@E_@OQs@X}A?}T{AiKk@oGQkC?_Rb@eVRwOXiBAgCLeLF_DJeF@qDLuKLwDCkAKuB_@mBo@}BoAyAcAiBgBmBkCsAyBy@eBeBeE[}@MeAEMc@o@aI}UcCsHa@aAoD}K_@eA{@mBM_@M_Ac@u@_@cB]eAmAkDaBgFiE_My@kCiA_DkCsIaAiC}BcHUm@{B}G}@aCoD}Km@aBKa@MqADwAHwArAwNLgB`@_E`AeKJcBA{C@c@~@gGFgACo@Qe@a@c@_Ag@SUGQe@}Bg@yCAu@HkCPaCR_BDcADyAEwA',10.0,7.099,9.58,36.51
1,13822981828,👍,18619.1,3012,3032,105.9,root='Ride',root='Ride',2025-03-08 12:13:33+00:00,2025-03-08 14:13:33+00:00,(GMT+02:00) Europe/Vilnius,,,,0,3,2,1,0,id='a13822981828' polyline=None summary_polyline='kvymIuzktC|@eCVeAZkBh@{FTcBHa@NGP@^PjBfCv@r@\\b@~D~DvA~Ap@h@\\Rd@HfDBz@LlKn@jAPpAEjBHZ\\Tr@V|Ap@hCZdBr@~C`@fBdBpG`@lBfCdKV|@~@nBDNJBDEZu@d@m@tAqA|@[~@g@x@WrAOdA?tFl@fAXv@n@PT\\r@jAfDjAtC|@pDj@|@`CxBx@n@|A~A`Av@hE`EnEtD~@l@lBt@~C|@tCl@zAh@hAXxExA|Bv@`Bb@nAd@bD`A|AZhBj@hBp@|FjAv@Vh@JbAErBw@zA[`BJpAn@r@t@|@p@rAlBpAjA~Az@jErCvBlAd@Nb@Fl@CjIqCrCi@nEeAl@BZLVVtEfHdAbAr@d@~E|AxBz@jGpFx@p@z@~@LDNGPy@f@sDb@kCTuB?eBSqGBo@Ho@FUT_@JK\\CxA\\z@h@ZZRf@Jn@@p@CVKj@St@eC~Fc@rAqApHGh@IlAUv@@^DLHBb@ARFv@|@n@dA|AzCdEdHrBvDpIxMpC~DzAjBz@rAbE~Hr@jAf@`ABJANQl@Gf@K|AaAvI_@vDAh@]xBc@hEe@lCa@|Ai@bCUnBGnA@d@v@zGBz@IfBMlA[zBSbAcAfDe@pAOTgBnBs@dAe@b@Wh@]|@aAlBo@`BU`@SNs@Wa@K{EUiAMsKq@oEc@y@A[QiD_@yCIgBWuBG]MY_@MIWD_@R}ATqCQu@WmBUYKc@]UD]RSBmGa@{EQy@OQ@UPsUqA_K@s@F{QZoTP}Wd@sGB}OVkBAsCLiC?eDFgCO}B_@wBu@oCyA{BeBsB}B}AcCeAsBy@gBwAwDQs@Im@c@q@}@eCcCyHsB{FaGsQi@sAgAkDyA}DOeAMKM@c@bAsBdBqBzA}A`AyC`CyDpCOAMS]oAgCkHqBmG_@{@Uq@c@}@a@aBkAiD_@}@[eAkAcDa@sAk@uA}BwGu@qB[cAKu@?e@D{ABQJ_@d@c@vAgBP[rCyDRU|@qA^]l@y@Zi@~@qATSHDAI@JBWEc@Mm@{@}Bs@gC}@aCe@iBcAuCSw@G_A@cAJ{Av@sHnAcOf@cFVwDFiB?_C|@eGJiAAm@Ig@IQWYkA{@Q_@m@}BYoAK}@C_@?{@NgDR}ANwBD_CCuA',10.0,6.182,10.76,18.62
2,13464710653,Tas bedarbis draugas...,28192.3,4577,4616,167.4,root='Ride',root='Ride',2025-01-27 10:18:58+00:00,2025-01-27 12:18:58+00:00,(GMT+02:00) Europe/Vilnius,,,,2,2,1,1,0,id='a13464710653' polyline=None summary_polyline='iuymIy|ktCd@iA`@kB\\uCXcDXkBN_@N?x@j@zAzBhKhKp@\\pP~@bE`@fDBZZFPV~Ap@hD\\x@N~@Tr@z@fEbBvGRn@Jn@nBxHRbA~@lC\\j@`@Er@kAxAuApCmAn@QrBOpGp@|@PZPd@f@d@t@d@dAl@dBZn@Jd@v@rBb@xB\\t@h@n@r@h@`CtBnDjDxFbF~CdCnChAlNvDtHdCpJvCxAXhE|AvEx@bBd@bBFzBy@fB]n@@pA\\r@`@dAz@l@l@tArBfDrCx@f@f@NpEnC^Nt@Hr@GhFiBxBk@pBWn@Y`Dk@n@?XNVX|AvBdBtCv@|@xA~@~EvApB|@nEbExBdB|@z@@JNBFEH[l@qDv@iGBgAMeIFqAPm@b@g@l@?p@TRV~@h@Z`@L`@F`@AbAYjAm@|A_BfDi@dB_@vBaAlHQf@CZFZNLj@IXThFbJ|AdC~DlHjE`HbBfCbC`D|CnEtDtGd@bAhAdBLf@Ab@q@lEoAxL_@lDIrBYbC}BjKSpBA~Ap@lFF~ACnAQtBMdA]`Bu@dCcAhCgAlAy@vAuA`BkCpF_@|@s@fBgDrHs@xAcB~Dc@tAmA`Fq@hDaHbZsHp\\mCzKwEfSkD|O{CjM_FnUeEdQiLph@o@dD[pCsA~Sc@|FWhBgBtG{ApEiAfE{@dCaCdIu@nCaBzEsBfEm@|AWz@[`Bc@|C{@~Ie@hHOhE[jEWjCm@fEi@hDmA`FoBtGyAlESb@q@nDyCrXwBpQmBjQsBpX}AfWO`BENs@N}PJaDCyAOwCi@aEuAcDkBmCsBg@WMDSb@aApE_@h@g@@wBoBIOIg@Ai@Dk@x@sE?g@M[[Ys@e@_@KuLFeAFgC`A}D`CeCv@{AViBNwCJUEGKOm@YgCk@}DsA_LsCgUiAqHoQ_uA}MgeAGqA@oArCao@DaBCyAKe@Wc@uGcG{BeCyAiCkAuC_BqF}i@gpBm@cCQeA[aE{Dmv@_@mLAmDBkE`@kJtCw^h@iEbAaFvAcEdAgCd@{@rAiBdFiEtJaHvPcMLS@QOiAa@sAuB}FoCsIeAqC}CgJa@_As@aCmC{HuBuFUw@Ge@FyBPs@hBwBnJuMZ]|@oAH[ASKi@{FaQe@{AO{@?}ATsC`Eqd@DqAEsC^wBj@mECeAMg@UWyA_ASYc@mBk@yD?qAh@uGLsB@mD',10.0,6.16,10.26,28.19
3,13387774812,Turim su Ugne,26396.6,6045,6545,74.5,root='Ride',root='Ride',2025-01-18 12:13:15+00:00,2025-01-18 14:13:15+00:00,(GMT+02:00) Europe/Vilnius,,,,0,2,1,2,0,id='a13387774812' polyline=None summary_polyline='uhzmI_ektCJxCAtBi@rGMbFnA|GVb@lBpAPhAKlAeAdHBpDoBjTIbB]xBcAnLGhBHrAXl@t@rClAlCHB|B_Bl@o@HDJl@ICDm@Ss@De@xBkA`BkBhAe@`ByAn@aAbC_C`a@yZPaAR]zEaD|FqFzD}E`BoCTKPALr@bBbE~BvGjFzPFl@_@`AcLpTWfAEbBX`DdAfRh@pE~Hjh@f@hC|Ovc@~HzQ^hBl@zEFtJGZULsFAiBS}B}@o@s@k@gAMEaEjAARThBf@vGvB~KVjEh@xE@ZQPuNDoDo@yB{@kEkCeCqCeCwDeB_ELm@jFkHH?dAdCz@zAWUqBgEnBgD|@q@pAUxA?pMb@bATZ|Ar@fIxBrLLfDh@zFe@PoKDaGu@mEqBmAy@w@o@yB_CqB_DoB_EEw@_@Uu@_CIeB}@cAg@mBw@yA_HqSqAeDc@yBgGoQGu@_@[aA{Do@{Ak@oBu@kASeAqFsOmF{OmAcEsCaIU}@aBoFe@}@?e@Y_@a@yAaBaEKw@m@uAo@wBMiAFyBb@mE\\cBBmBnBsS`@sFCcEp@kETgAFw@CcAa@gAyAw@U]kAqG@kCl@_J@{BKwB@}@k@oGQeAi@qBCi@OGk@kBgBuE{EwHqA{C]g@m@cBsBsDKg@wD^yPpJkSzf@@RtA|CfHjOpAbC`AjA`FpCNXEt@eA|Ge@fBVl@dEzB`Ax@tG~DdCrB|CnCj@z@rEjBdAZh@nA^Tj@k@Dm@BkASf@w@KaCcDqAaCe@AcAdBYbAeEjQmApHqAbMe@lIDtKGdIM~DiAzPaAvIiAtHCfADt@j@~BBl@Yx@kEzD]bABr@V|Av@nCZbBh@xDP|AA`@Of@}L|Ju@nAk@`B_@zD\\tEJf@JV^TvJu@vB`@tHlCNVBVq@pDu@|HQ|CHd@bQtAnH@TQ^y@p@e@|Aa@`AAh@[X[x@aCbB_CvAcCT{@@wFp@{D\\sCNeBF}B`B{GrAuAJWqCkLGu@a@sAeUyp@U]mCqH[{AJcCPo@|@_ApIgLfAgAb@aAf@u@\\I`BhFEFEc@aBsE[uA_BaEi@sB{CgISqARwGl@uFRaDbCqUHc@\\A?aAPNtAzHzCfVlCdRRvBMTiCtBaFpDuAaEo@wAk@uBeAuCUiAAeBTkDlAcMp@{IdAcKB{AE{B|@wFLyAGqAO_@cBcA[m@c@_Bc@uDPeG`@aF@iBIiD',10.0,4.367,8.78,26.4
4,13377986764,Turim,17831.2,3051,3063,105.5,root='Ride',root='Ride',2025-01-17 11:06:44+00:00,2025-01-17 13:06:44+00:00,(GMT+02:00) Europe/Vilnius,,,,0,4,0,1,0,id='a13377986764' polyline=None summary_polyline='kuymIm|ktCj@eB`@kB\\}CVcDZoBFGDA\\Hj@f@p@dA\\b@dF~Et@~@jAlAz@r@d@Vl@F~CHzD\\xDPb@Hn@A~@LfD?d@LJJN\\x@tEZjAb@pB\\jAZ|Af@nBF\\`@zAdA|EpAxEt@fDl@`Bp@nALEz@sAbAcAhAo@dAa@bAY`BSx@B|AJdBRzAThAl@PRd@|@pDxJ^lBJ^j@x@hBxAhBdBZR|A`BbIdHfBtAn@`@zEbB~Cr@jFxA`HzBz@Pj@VhCt@xAj@fDx@j@Vj@JPJn@P~Bh@P@xCt@v@Nh@BdAOjA_@|A_@n@C|@HlB|@RJ^`@RFv@`An@hALN`@ZPHxArAn@Zx@l@nC`BnBbATHb@Bl@GfE}A~A[`GcBtAUt@Wd@Dh@^zAjCb@h@bAdBp@~@XVrAp@rEtApBt@`AjAfDtCz@l@xAxANLN@LMNk@d@gDb@oCTuB@]?u@QcHBkADQVo@JMLG\\GXBf@RVAz@t@RVN\\DPHx@Af@Ed@CP[x@aCtFk@nBQdAq@`FKh@Gx@IXKNCJAJBVNP\\EPD`@`@V^zHvMdBdDv@lAzF`JdAfBxEjG|@tA|ArCp@vAtBpDPT`@x@@TUfAIfAoAhLSxBg@|DYfD[nBeBdIQ|AEbA@`@H|@d@jDLbBG`BQnBWfBYrAyAnEa@x@u@`Am@l@s@dA]\\k@|@sAzCIV}@hBQFk@[{@Kk@@_Hi@qBGkEWaBU{DWg@WeAMaBM_EMgAMwBKUI_@e@QESB_@RoAT_DQw@YkAOk@COEOYOIODc@Ti@?yGc@yF[MBMNM@eO_AiEQuNBoITaXV}LVqMN_HBuHLmCJgRF_BGgC[sAa@uB}@oBkA{@w@uA{AgAsA_A}Ag@q@c@y@m@sAUs@?WCKYOKWo@qBCM?{@Ic@KQSGQOUu@Sw@}@mB{EkNyAmE[{@m@oB_@}@_@kAwCuI_AyBQqAk@cA[mAYu@oAaEu@mBi@}A]oAsBsGkAaDo@wBaBiEe@aBm@yAMm@g@oAuBqGc@}AyA_E{A_F_DeJ]oAcAuCQ{@Gy@FsB`@wDzByVLgBV}BLyAHcBEwB@g@XcBd@aDFk@?WEcAEQIQg@c@_Am@U]Oa@Og@WaBW_CAq@JiBJiBZiCFeA@}CGeC',10.0,5.844,10.12,17.83
5,12915948174,Lunch Walk,31409.7,22046,28355,238.9,root='Walk',root='Walk',2024-11-16 09:21:50+00:00,2024-11-16 11:21:50+00:00,(GMT+02:00) Europe/Vilnius,,,,0,2,0,4,0,id='a12915948174' polyline=None summary_polyline='o|plI_dcwCv@{C`BsUdAcHhA}D|KgNjBqAnE_EQyBg@K_@mAa@Dq@}CrAVl@~@}@dAJr@UURo@d@Yj@z@fAiCy@}BiCsAi@sBcB_B`BiKQk@gEmByAjDu@TQGA{@cDg@qCsU?kOaBe@aCuJ?gAz@sBNaBo@{HvAwBzFoRjAqR_AcLCiGhAkCxBaCf@Qj@~AEw@m@y@NgAU_B_AsBuFiXwDgKaDoLa@LQc@HqEk@cFmCcMFwEmBqHLm@`BFhBsBbBc@vBoIbBmAPdBIvDn@vIbAlEDzEd@t@nFm@vA`FTtCh@l@bACnBhEh@^jFcDxCqK^oFZ?Ui@RyAOtC?_@~MSr@xDbAFF`A_@uA_AOuAtAaBVyBfCg@vCV|CxB|EdBlHc@bBuAEsByBeA{BaGy@eCfAoAgCcCg@a@fAK~AfDxK@rDp@fEWvG`ApJ~@rBdEwB|d@aMJh@a@lC{@f@{BvDiBdBi@|BG`BT~J]zF]`AwAr@Wx@k@nGAhGgAvEzUpIzBY\\hKeAlXdEOn@n@nAMz@hAaAdCSfC|AvCRlK`BxCdAlE`DJ~FnC|Dg@~AaFFqFlAcBjB|@LbBjAbDc@`ERYQYj@dA_@cAKx@Ty@Sz@Ns@m@s@o@Va@bEmDtGi@fClBC~ApGdApH@nCkBzF{@jAuGSuCrE}@@WnAd@|BS|Ai@R`AxDvDhWLvDh@p@~DxPd@j@lBrHkDvGqDvC}@lEf@nCdAzKaBpFQtFP`LnAtGnDbKnChMvB|D~A~VmCdFeArLf@xT{D`IeBlKOpOq@fPVrT[hEyA`GKdKn@bMy@xEKlEqC`ZClHgDbNwBvDmCbAs@`CmBlCw@xDOjFhA`D]TMdAX}@[t@ZqBaAcA|@n@Jt@_AfAW|EoDrEmAjGaCxB}@H}HwBsI~ByF_AyBeCuBcEaBwAoB[{Ap@_CGgCwASqCJgGkBqHaCcFkEgT{B}Y{EcZ_AyLyBeE}BeKm@kAm\\}`@mAcD[{Es@_CeAgAcAyFQgGb@uFhA{G^gAPgM_AaHoEwKoBgHi@_IVsCfBNzAiBz@{B|@}J?iAi@}CoDqDgC`@_HmCgDoIq@gDbB_Cv@yBrE{Flc@aM|BwEbHcH^sAb@kGPqOhBgCfEiCx@~@`Cr@t@_Dp@wJDqCc@cCHqCZkClCcKbNcWp@Rz@vAl@zBhDcCPu@yBuFUO\\l@i@|Av@q@bBhEuJ`HoB`DoHhIeCfNkBlVsBlH',,1.425,3.9,31.41
6,12749929852,Afternoon Ride,24955.0,5210,8661,115.6,root='Ride',root='Ride',2024-10-26 11:29:52+00:00,2024-10-26 14:29:52+00:00,(GMT+02:00) Europe/Vilnius,,,,0,3,0,2,0,id='a12749929852' polyline=None summary_polyline='azymIgmdtCbAtCF`@^z@|B|JDn@GNUFw@pA}ArFa@pG]rCGpAUdA_@bCCxBIt@mBjDeBhCq@xBk@d@cBAsAZWTy@nA]R{CI{@OkD?eAKiDg@aFYQY?]dAoKZ{Bj@qC`BoFn@{AbAiBlAcBbAcAfa@iZNSHY?a@I]qPmf@eImUUcAJaCLo@bCoCtLcPu@gCeAcCe@iBBKTOl@?l@w@n@i@Ru@@g@uAaKIaAi@gD[{@gAgAQCQx@u@|IErBHv@v@~B\\x@d@fBnVbt@lCnIbFhNx@fCj@|BRd@XNHx@dGlQXvAd@zAzHlUf@rA^t@p@xBl@j@H`@HtAv@zBPN`@SdEeGBW@FAUKJCGBJJKCJHBZU`AcB`@e@dAy@p@WbC?`Md@vAPhAk@tBe@f@fA^h@`Ap@|@ZtBXvG?Lb@GxGBdTHdCHVjs@}@|FDzKa@xKOtPh@pHj@NAZi@jPdAb@En@]f@f@RHfBPz@VzCPnAQt@Yn@l@XFdPhAJBBTNLbYzArALdBh@X?\\]nDwHnEyFhA_D`AqD`@eDJuDCy@q@cFC}@BoAPqAlAoFb@aCpBgQ|@yJf@eDD{@t@yC[_AGBKrAELBXK`@i@t@_@q@oAoCiDeGiH{JaEuG}@kAoImO_EyGWWo@aAIo@@a@dBuKb@uAdC{FT_ADy@KoA]}@i@c@a@QSBa@a@q@Oo@Ta@z@KpALzGEhC}AjLKRS@oHyGsBaBgAe@kFsAi@YuAuAmBuCwAkCcAo@m@CaGrAoKzCgBL{Am@qK}Gy@{@}AyBeA{@oAu@u@SmA?qFpAw@AoAUkGyAyH_CwTaHcHeBwE{AuAs@sEwDaQ}OYs@m@{ByCgI{@aB}@y@uA]qDa@gBGoAF}C`As@DgBtAeAlAYDu@sBuDuO[{@aEmQk@_Dc@wA_@g@a\\qBcAo@gIqIcA}@wAkB]WoAa@s@y@iAfAk@t@Wj@DHMAWtAS\\c@`@kArCkCdC_A\\cAn@c@nAiCbEWh@@PT^Ld@\\xCVrDGf@PrDGnDc@~EM|CDfAb@xCl@`Ch@v@lAt@L^Dx@Gt@gAjHEbBMt@BTL\\?RShAuDba@ShD?tBL~@V`At@hBpB`GNr@j@nA`AxCGRe@b@kCpDGJARhBhFfArD`AhCtC~IBVXl@jC`I',,4.79,10.92,24.95
7,12649698362,Afternoon Walk,10442.5,8013,9700,160.6,root='Walk',root='Walk',2024-10-13 14:39:04+00:00,2024-10-13 17:39:04+00:00,(GMT+02:00) Europe/Vilnius,,,,0,3,0,2,0,id='a12649698362' polyline=None summary_polyline='u_xlIe|kyCRDLYKe@e@CCK@ULo@^q@nBc@Ps@@wAQm@g@m@{@MOSYqACaAm@Ze@Kq@q@c@UeAHhA@j@RRXh@Nv@F\\mAp@uAO}@BMMs@M]g@u@s@w@UBa@UmAGISKDs@{@iB{CUw@fAk@vAeArBAh@`@j@r@|@`@Ph@VZ`An@n@BlAo@lAItANdAj@z@~@~@n@nAbCz@bC|@n@n@|@DRtApABv@Z`BXd@ZtAbAfCl@bCh@bAKh@[FBIVf@Lb@@dBKt@\\pBFbAAx@Uj@_@^kAj@s@JWTSrA@bBQj@[`@}@KeDT@l@IpB\\^PrAEx@Wx@GfCO`AA|AHTi@DQCS[KDG|@FPSpC]lAMvCKdATxEPxCh@rEFxAE|AJh@Cl@C@DCm@@eEdAiALc@Wg@NQGWNwASg@FYNa@d@Al@Sp@Cz@]~CLbAEz@[z@MhBa@~@MzBG^WfAMFGr@_@jAEbAOtA[`@GXElAF@Cj@HhA_@fASzARfA@bA]r@CZOTGX?b@FTIv@Ft@Ep@HP@r@G`ASj@]dBGnDS`@Ml@At@Ix@Mn@c@p@q@rBUzBJPLh@ALINS@C~@S`@IJIMQ`@I^?r@QdAC~@WLAZPbBB~AQpBUpAM?ELKhA@b@O\\YtAKDSW_@GYu@c@b@?TQj@U`BWEYa@aCm@OD[fAwAk@wBuAUa@kCuCWMmAsA[wBKgACsCIsABeCVoF`@yCr@qDTy@x@kBxAkCj@g@t@iAvAsCPOTy@t@yAHi@cDeG{@qBgCoEm@{A_@a@BIKWq@qACi@Q{@Xx@uBcFc@w@E@IHAPGqA_@cAFBeBo@[e@OeAo@kAR{@JCWi@g@o@k@v@YPkBCS\\y@^wBm@wAK{Ak@GMEsALcARu@DcAJs@CmAJ}@ASOGk@D{Dq@WUw@Cy@[o@BuAe@iBa@}@FaB]c@Ne@Is@\\E^F?ANq@b@SQ[DGMJVQWHRh@LB`@AYDNINGGLF?JLNGABM@HICOg@?OH@?XI@F]IACQTHDn@D?GD@GCJ@qAHa@PU_@[eA^[p@mA@_@w@UTK\\GBw@S]UY]IAk@LYY@NSS[Ga@g@sAo@M?I`@',,1.303,8.277,10.44
8,12640113132,Evening Walk,7773.0,5583,7505,20.5,root='Walk',root='Walk',2024-10-12 16:40:27+00:00,2024-10-12 19:40:27+00:00,(GMT+02:00) Europe/Vilnius,,,,0,2,0,2,0,id='a12640113132' polyline=None summary_polyline='ocanIgj}pC@zAIp@Yl@@RG\\EGIDC~l@OK[EHLCDBJWPMOCFR|@P^ArCPn@Df@QnC?f@LdAEHA~@NZA`@r@lBV|@F~@Th@h@vCF~@`@rAPhCZn@QvBC@NdBCZHp@AtEJrACrBJxB?vAFnAKnBMf@Ax@UpAEf@YpAQzAKpBZrBfAtBDZCp@?G@n@\\rANPF?b@ZR^L@^XTZE?@D^NPj@ZD^XFCBf@WrCCRCBAPC@@`@EbAYjCCBIlAI\\EbAGZKP_AbEo@hB_A`BWfA_@n@CABA?HQRWl@}AdCy@pBs@bAu@|@CGR{@JgAFyBLs@EGa@AYS[c@Ii@KM?o@[cG@eAKk@?WU{@I_A@}@OaBHYV[f@kCL_@~@oEF}@IoABY?u@Uk@OKc@_Aa@S][CMy@KIIEk@BqAGs@U}@J}@CWBoAMu@Qa@e@wBQ_CH[@]Ks@McBe@iAMs@UUKW[]ISDc@XSf@H`@Vd@Cj@NVAXM\\?TF`@SLLDe@t@oCBmAFk@CM@KHADYAiATs@FgBR{@Rc@NSTE`C?rAFLJ?b@BJJOR}@?LHyAs@]KoADEOc@?a@Rg@CTE?EM@KO]Ic@DUAOOe@u@gBo@iBM{@GIQaBIYEc@L_ADK@o@HWQuADc@CIAoAFS?UGy@HQBa@Ew@@s@Jw@?iBHy@Ka@AWNoA@i@EKHcA?uBDyBJyBJy@AEBQCEDQCIBKEEBKEI?YFO@UBqA?w@Fa@OgABw@EYFK@MH_DFSCQDCGOBEGWF_@?_@X`AFi@UiGD_BE@FsACy@DgACGA[FgBCy@BgAH{@Ai@Bm@EcAHuAA{@J{@C]Du@Cs@@cBFiB@GFDBGFmAjAwBPKDDt@Kp@Rn@A^LBFED@DXUDPl@QNLPCTRz@HZ?v@QJVNIRX^Mb@H`@MHDAPDD?LDBb@Kh@LPi@JC`@RAd@DPD@BKJE~@@BDGVDvAIv@MjEDn@FIASAHDJETm@CANMHIfAKJOGHGBc@BGHRIn@COTT^Gq@O?G@FMGD@@H?GNYLKC?Ih@Af@D^AP?ILI@OE@BLNHFMAe@JQ?c@ZuBLOKV?PBJFA@IXFHORuA\\UPg@D_@PGR\\XjA?VGd@@b@CQDTUQIT]CY~@EnAONJvAEHCIDAGCANHj@JDfAo@',,1.392,6.262,7.77
9,12592833017,Morning Walk,40120.6,29413,39828,329.5,root='Walk',root='Walk',2024-10-06 06:43:59+00:00,2024-10-06 09:43:59+00:00,(GMT+02:00) Europe/Vilnius,,,,0,3,0,2,0,id='a12592833017' polyline=None summary_polyline='o}ymI_metCAuB}AiHlCcFkEaOuC}I?m@`AoBDi@^QF{@QsCqAqFdAQ|@uAd@K`@g@@aCvCuBdAwAnj@gc@TWRqAfG{DbDyCjD{DnEeG|DuGlDaDrBcAVTdBm@rJd@A{Bg@}BqDaLgCwL{Jy^EkAnCoDjHmO`@SnBiEzJoPb@OpBz@lAoBhCoBzBlFbGdATUZ{AGu@UMFg@oAcAeANHw@Wq@rAmDSaAXsAl@m@d@Op@D^s@lAg@d@R?wAb@sBTg@rAe@OgC\\yD`@{A?}AaBaIlDyApAoBpALdDwOpNpMfJdJj_@b]LK_@uLyA{Pr@aYo@sMSa@[uVbI_[zAkEvAsGHyAYaHyAqLiDaLuCkGq@gDuGy{@{@ySj@}GhF_`@rA{OtDeNfJwQfJ{JlFoIlBwF\\}D@oDVQrHtDvElDlCjGfD~Bl@xAlBxBtOfHhC}An@K`JnB~CcDjCZpBUl@o@fCmFnEyB~BcCIwc@Nm@S{ELoHOw@B_N[oDTkIk@}j@?qSGcFWg@NFMic@dBaK`ETB[tCe@f@p@F`AXh@lBHrAp@fCWlArBvMvCZPt@lBVEfAmzAs@gBcFmBe@{AA_Br@iIp@wDFeCdCmAhBuCDoNdBwZR}Az@u@HeBOk@Pa@Rv@Wa@J]KdAKK@qAW{@vJscBRgHMmMbD}e@JwD[i@n@Gf@eD_Ea@BS[QS{@fBEt@{@RkAXNDWO{@@sFcFwr@tGi@lBZVYB}Bw@sAYmBgAyCFgIrAcItC{DrAgGd@cAt@mL?yBu@eKF}AXQJ_A[zAQ}Da@m@h@is@~@uk@OsI_@eFmH_`@yJcfBEwE~@oMtI}t@h@wGpOgvCZsE`@y@[[hCsc@pCqYh@eC|KmeAh\\iuCjKi\\~C_Gd@YbGgJ^uAp@yFb@]lAsIj@oC\\a@h@cEvAyF^kDbEiT~AcKAsAb@iC^eB|@s@NuA_Aq@bFjClKvCVS^h@zBVl@iBgAjByB]iOyEsCmBkJgJeAbDkXxu@q@f@aAgB\\TSEf@eC^aAiCxHl@mB^@Nc@LaB^aAeAdEF`@z@v@At@kFrMhFyNw@yAb@wBo@|A_@Wg@nAzB}FoCzGdAyBwlObddAt@iJ|A|@SjHd@zBv@`BJtATDB`Ar@p@`BpFt@z@VtBzNrc@|JjYiBxCkAGc@r@g@wAa@d@e@eBu@eAaBxB',,1.364,2.953,40.12
